course,class_number,enrolled,limit,meetingNumber,facilityId,facilityType,facilityDescription,facilityDescriptionShort,facilityGroup,facilityCapacity,buildingCode,room,buildingDescription,buildingDescriptionShort,startTime,endTime,startDate,endDate,monday,tuesday,wednesday,thursday,friday,saturday,sunday,standingMeetingPattern,term,catalogId,classTitle,classNumber,section,sectionEnrollment,Latitude,Longitude
THEATRE 5321,20554,10,12,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,12:45 pm,2:05 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5321,Film/Video Production I,20554,0010,0,40.0017902410817,-83.0101716327005
THEATRE 5321,29452,10,12,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,2:20 pm,3:40 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5321,Film/Video Production I,29452,0020,0,40.0017902410817,-83.0101716327005
THEATRE 5321,36236,11,12,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,3:55 pm,5:15 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5321,Film/Video Production I,36236,0030,0,40.0017902410817,-83.0101716327005
THEATRE 5322,28350,16,16,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,11:20 am,1:00 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5322,The Art of Editing,28350,0010,0,40.0017902410817,-83.0101716327005
THEATRE 5323,20550,16,15,1,TFM0385,PERF,"Theatre, Film and Media Arts Building",TFM,False,30,1025,385,"Theatre, Film & Media Arts 385",TFM0385,9:00 am,11:05 am,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5323,Film/Video Production II,20550,0010,0,40.0017902410817,-83.0101716327005
THEATRE 5325,35963,9,16,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,1:15 pm,3:20 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5325,The Film Director's Voice,35963,0010,2,40.0017902410817,-83.0101716327005
THEATRE 5325,36468,2,16,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,1:15 pm,3:20 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5325,The Film Director's Voice,36468,0010,2,40.0017902410817,-83.0101716327005
THEATRE 5331,35133,18,18,1,TFM0215,1B,"Theatre, Film and Media Arts Building",TFM,False,34,1025,215,"Theatre, Film & Media Arts 215",TFM 215,2:20 pm,3:40 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5331,Screenwriting,35133,10,0,40.0017902410817,-83.0101716327005
THEATRE 5331,35134,18,18,1,TFM0215,1B,"Theatre, Film and Media Arts Building",TFM,False,34,1025,215,"Theatre, Film & Media Arts 215",TFM 215,3:55 pm,5:15 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5331,Screenwriting,35134,20,0,40.0017902410817,-83.0101716327005
THEATRE 5341,30350,15,16,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,9:00 am,11:05 am,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5341,Studies in the Documentary,30350,0010,0,40.0017902410817,-83.0101716327005
THEATRE 5403,36421,1,10,1,TFM0170,PERF,"Theatre, Film and Media Arts Building",TFM,False,26,1025,170,"Theatre, Film & Media Arts 170",TFM 170,8:00 am,11:00 am,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5403,Scene Painting,36421,0010,2,40.0017902410817,-83.0101716327005
THEATRE 5403,36419,2,10,1,TFM0170,PERF,"Theatre, Film and Media Arts Building",TFM,False,26,1025,170,"Theatre, Film & Media Arts 170",TFM 170,8:00 am,11:00 am,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 5403,Scene Painting,36419,0010,2,40.0017902410817,-83.0101716327005
THEATRE 5412,35967,3,12,1,TFM0280,1B,"Theatre, Film and Media Arts Building",TFM,False,25,1025,280,"Theatre, Film & Media Arts 280",TFM 280,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5412,Scenic Design II,35967,0010,3,40.0017902410817,-83.0101716327005
